               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.034345,            0.012109,           0.0053435,             0.26352,                 0.7,             0.47998,             0.28794,            0.032213,            0.011721,           0.0047871,             0.17924,           0.0001336,           0.0001336
                   1,            0.030628,            0.010582,           0.0047348,             0.31874,                 0.7,              0.5843,             0.37874,            0.029342,            0.010928,           0.0046316,             0.17008,          0.00029805,          0.00029805
                   2,            0.028362,           0.0099298,           0.0050052,             0.34654,             0.72445,             0.64712,             0.43479,            0.027063,            0.010421,           0.0045004,             0.16091,          0.00045966,          0.00045966
                   3,            0.026321,            0.012291,            0.004866,             0.56383,             0.94449,              0.8093,             0.47408,            0.025213,           0.0099847,           0.0044345,             0.15174,          0.00061844,          0.00061844
                   4,            0.025177,            0.011403,           0.0049796,             0.64278,             0.96222,             0.86172,             0.54762,            0.023389,           0.0094125,           0.0044093,             0.14257,          0.00077439,          0.00077439
                   5,            0.023299,            0.010383,           0.0046157,             0.74403,             0.95202,             0.92393,             0.61199,            0.022158,           0.0090287,           0.0043929,             0.13339,           0.0009275,           0.0009275
                   6,             0.02208,            0.008935,           0.0055699,             0.83004,              0.9224,             0.94925,             0.69674,            0.020806,           0.0086883,           0.0043875,             0.12421,           0.0010778,           0.0010778
                   7,            0.020178,           0.0093317,           0.0044519,             0.86634,             0.91676,             0.97297,             0.75512,            0.020092,           0.0086015,           0.0043597,             0.11503,           0.0012252,           0.0012252
                   8,            0.020834,           0.0095137,            0.005817,               0.839,             0.93411,             0.97297,             0.76283,            0.019343,           0.0086311,           0.0043691,             0.10585,           0.0013698,           0.0013698
                   9,            0.019401,           0.0087942,            0.004946,             0.89703,             0.92039,             0.97595,             0.79509,            0.018748,           0.0086538,           0.0043865,            0.096662,           0.0015116,           0.0015116
                  10,            0.019223,            0.008427,           0.0053503,             0.88778,             0.91694,             0.97595,             0.79332,             0.01813,           0.0086715,           0.0043919,            0.087473,           0.0016505,           0.0016505
                  11,            0.018489,           0.0098066,           0.0047375,             0.90654,             0.91592,              0.9774,             0.78433,            0.017542,           0.0086399,           0.0043468,             0.07828,           0.0017866,           0.0017866
                  12,            0.017178,           0.0090742,           0.0046735,             0.90595,             0.91829,             0.97595,             0.78336,            0.017293,           0.0086242,           0.0043612,            0.069085,           0.0019199,           0.0019199
                  13,            0.016825,           0.0079579,           0.0042875,               0.917,             0.91581,             0.97878,              0.7909,             0.01689,           0.0086054,           0.0043429,            0.059887,           0.0020503,           0.0020503
                  14,            0.017142,           0.0085949,           0.0045266,             0.92628,             0.91174,             0.98411,             0.77332,            0.016524,           0.0085393,           0.0043023,            0.050686,           0.0021779,           0.0021779
                  15,            0.016853,           0.0080142,           0.0049975,             0.91874,             0.91382,             0.98411,             0.77154,            0.016268,           0.0085028,           0.0043028,            0.041482,           0.0023027,           0.0023027
                  16,            0.016443,           0.0085024,           0.0050409,             0.94997,             0.91532,             0.99233,             0.78268,             0.01587,            0.008415,           0.0043033,            0.032276,           0.0024246,           0.0024246
                  17,             0.01594,           0.0081767,            0.004277,             0.94953,             0.90964,             0.99233,             0.79771,            0.015814,            0.008416,           0.0042988,            0.023066,           0.0025437,           0.0025437
                  18,            0.015742,           0.0080038,           0.0046169,             0.95016,             0.91006,             0.99233,             0.80386,            0.015474,           0.0083666,           0.0043013,            0.013854,             0.00266,             0.00266
                  19,            0.015073,           0.0074879,           0.0049821,             0.94949,              0.9059,              0.9902,             0.78445,             0.01519,           0.0083617,           0.0043989,           0.0046391,           0.0027734,           0.0027734
                  20,            0.014305,           0.0075302,             0.00466,             0.94732,             0.90521,              0.9902,             0.81782,            0.015081,           0.0083242,           0.0043577,           0.0027731,           0.0027731,           0.0027731
                  21,            0.013528,           0.0061897,           0.0044755,             0.94645,             0.90484,              0.9902,             0.80447,            0.015209,           0.0083775,           0.0043662,           0.0027731,           0.0027731,           0.0027731
                  22,            0.015123,           0.0083818,           0.0044939,             0.95498,             0.90632,              0.9902,             0.79378,            0.014806,           0.0082857,           0.0043954,           0.0027448,           0.0027448,           0.0027448
                  23,            0.014599,           0.0085299,           0.0047849,             0.95359,             0.90912,             0.98845,             0.78856,            0.014545,           0.0083015,           0.0044325,           0.0027164,           0.0027164,           0.0027164
                  24,            0.015151,           0.0077957,           0.0045576,             0.95361,             0.90772,             0.98845,             0.79238,            0.014488,           0.0082887,           0.0044419,           0.0026881,           0.0026881,           0.0026881
                  25,            0.014718,           0.0081626,            0.005142,             0.95391,              0.9062,             0.98845,              0.7932,             0.01432,           0.0082196,           0.0044434,           0.0026597,           0.0026597,           0.0026597
                  26,            0.015392,           0.0064818,           0.0055882,             0.95527,              0.9062,               0.987,             0.78502,            0.014384,           0.0082621,           0.0044712,           0.0026314,           0.0026314,           0.0026314
                  27,            0.014303,           0.0094965,           0.0045919,             0.96609,             0.90473,               0.987,             0.79613,            0.014061,           0.0081851,           0.0044414,            0.002603,            0.002603,            0.002603
                  28,            0.015481,           0.0075706,           0.0050215,             0.96742,             0.90573,             0.98845,             0.80926,            0.014092,           0.0081535,           0.0044088,           0.0025747,           0.0025747,           0.0025747
                  29,            0.012898,           0.0062186,           0.0038493,              0.9684,             0.90468,             0.98845,             0.79206,            0.013944,           0.0081032,           0.0044157,           0.0025463,           0.0025463,           0.0025463
                  30,            0.014131,           0.0064347,           0.0048181,             0.96831,             0.90387,               0.987,             0.77494,            0.013957,           0.0080943,           0.0044801,            0.002518,            0.002518,            0.002518
                  31,            0.012981,           0.0082092,           0.0043887,             0.96778,             0.91129,               0.987,             0.78352,             0.01381,           0.0080746,           0.0044315,           0.0024897,           0.0024897,           0.0024897
                  32,            0.013827,           0.0071425,           0.0046149,             0.96898,             0.90978,             0.98845,             0.82558,            0.013595,           0.0080223,           0.0044197,           0.0024613,           0.0024613,           0.0024613
                  33,            0.013563,             0.00839,           0.0049413,             0.96853,             0.91008,             0.98845,             0.81243,            0.013571,           0.0080134,           0.0043667,            0.002433,            0.002433,            0.002433
                  34,            0.013669,           0.0074625,           0.0046599,             0.96762,             0.90626,             0.98845,             0.81106,            0.013593,           0.0079986,           0.0043434,           0.0024046,           0.0024046,           0.0024046
                  35,            0.013582,           0.0080439,           0.0051618,             0.96904,             0.90311,             0.98845,             0.80366,             0.01352,           0.0079829,           0.0044216,           0.0023763,           0.0023763,           0.0023763
                  36,            0.013228,            0.006978,           0.0049055,             0.96805,              0.9004,             0.98845,             0.80304,            0.013569,           0.0080194,           0.0045167,           0.0023479,           0.0023479,           0.0023479
                  37,            0.012947,           0.0078377,           0.0041824,             0.96924,             0.90112,             0.98845,             0.80237,            0.013383,           0.0079434,           0.0044593,           0.0023196,           0.0023196,           0.0023196
                  38,            0.012755,           0.0071459,            0.004607,             0.96857,             0.90144,             0.98845,             0.82549,            0.013378,           0.0079227,           0.0044434,           0.0022912,           0.0022912,           0.0022912
                  39,            0.013848,           0.0080925,            0.004417,             0.96886,             0.90214,              0.9902,             0.79931,            0.013305,           0.0079167,           0.0044097,           0.0022629,           0.0022629,           0.0022629
                  40,            0.012914,           0.0068887,           0.0041661,             0.96984,             0.89863,             0.98845,             0.79159,            0.013933,           0.0081269,           0.0044192,           0.0022345,           0.0022345,           0.0022345
                  41,            0.013926,           0.0080696,           0.0045262,             0.96931,             0.90096,              0.9902,             0.80065,            0.013175,            0.007898,           0.0044246,           0.0022062,           0.0022062,           0.0022062
                  42,            0.014079,           0.0077761,           0.0043055,             0.96854,             0.90046,             0.98845,             0.80029,            0.013138,           0.0079019,           0.0044533,           0.0021779,           0.0021779,           0.0021779
                  43,            0.013614,           0.0069638,           0.0054582,             0.96641,             0.90343,             0.98845,             0.80633,            0.013253,            0.007972,           0.0044256,           0.0021495,           0.0021495,           0.0021495
                  44,            0.013037,           0.0069359,           0.0045072,             0.96518,             0.90512,             0.98845,             0.79793,            0.013242,           0.0079266,           0.0043954,           0.0021212,           0.0021212,           0.0021212
                  45,            0.012891,            0.007852,           0.0044458,              0.9643,             0.90733,             0.98845,             0.80886,            0.013037,           0.0078556,           0.0043845,           0.0020928,           0.0020928,           0.0020928
                  46,            0.013009,           0.0074051,           0.0039896,              0.9639,             0.90914,             0.98845,             0.83779,            0.012935,           0.0078319,           0.0043558,           0.0020645,           0.0020645,           0.0020645
                  47,            0.013013,           0.0069274,           0.0047415,             0.96574,             0.90507,             0.98845,             0.80735,            0.012878,            0.007822,           0.0043711,           0.0020361,           0.0020361,           0.0020361
                  48,            0.012922,           0.0067557,           0.0045902,             0.96847,             0.90288,             0.98845,             0.80439,             0.01281,            0.007825,           0.0044132,           0.0020078,           0.0020078,           0.0020078
                  49,            0.012444,             0.00779,           0.0043738,             0.97127,             0.90034,             0.98845,             0.79295,            0.012846,           0.0078684,           0.0043909,           0.0019794,           0.0019794,           0.0019794
                  50,             0.01138,           0.0061553,            0.003432,             0.97222,             0.90005,             0.98845,             0.79997,            0.012754,           0.0078398,           0.0044117,           0.0019511,           0.0019511,           0.0019511
                  51,            0.012715,           0.0072142,            0.004396,             0.96993,             0.90147,             0.98845,              0.8057,             0.01274,           0.0078487,           0.0044058,           0.0019228,           0.0019228,           0.0019228
                  52,            0.013599,           0.0080782,           0.0048792,             0.97145,             0.90022,             0.98845,             0.81619,            0.012765,           0.0078664,           0.0043181,           0.0018944,           0.0018944,           0.0018944
                  53,            0.013874,           0.0070709,           0.0044548,             0.97088,              0.9004,              0.9902,             0.81079,            0.012772,           0.0078852,           0.0042582,           0.0018661,           0.0018661,           0.0018661
                  54,            0.012897,           0.0080425,           0.0044073,             0.97062,             0.89994,              0.9902,             0.82745,            0.012626,           0.0078329,           0.0042156,           0.0018377,           0.0018377,           0.0018377
                  55,            0.013453,           0.0067914,           0.0045918,             0.97252,             0.89782,              0.9902,             0.83614,            0.012532,            0.007824,           0.0042116,           0.0018094,           0.0018094,           0.0018094
                  56,            0.013769,           0.0070582,           0.0047953,             0.97331,             0.89685,              0.9902,             0.79434,            0.012527,           0.0078664,            0.004224,            0.001781,            0.001781,            0.001781
                  57,            0.012607,           0.0079369,           0.0041459,             0.97299,             0.89685,              0.9902,             0.78422,            0.012536,           0.0078783,           0.0042394,           0.0017527,           0.0017527,           0.0017527
                  58,            0.012188,           0.0079692,           0.0043169,             0.97163,              0.8972,              0.9902,             0.80714,            0.012509,           0.0078852,           0.0042716,           0.0017243,           0.0017243,           0.0017243
                  59,            0.011957,           0.0070151,           0.0038734,             0.97138,             0.89834,              0.9902,             0.78104,             0.01246,           0.0078783,           0.0042419,            0.001696,            0.001696,            0.001696
                  60,            0.012881,           0.0073301,           0.0043024,             0.97153,             0.89864,              0.9902,             0.79232,            0.012533,           0.0079523,            0.004224,           0.0016677,           0.0016677,           0.0016677
                  61,            0.011888,           0.0071689,           0.0039798,             0.97225,             0.89928,              0.9902,             0.80688,            0.012422,           0.0079108,           0.0041666,           0.0016393,           0.0016393,           0.0016393
                  62,            0.011808,           0.0084398,             0.00432,             0.97073,             0.90128,             0.99233,             0.80063,             0.01238,           0.0078911,           0.0041339,            0.001611,            0.001611,            0.001611
                  63,            0.012905,           0.0072944,             0.00424,             0.97237,             0.90034,             0.99233,             0.80143,             0.01237,           0.0078822,           0.0041458,           0.0015826,           0.0015826,           0.0015826
                  64,            0.012181,           0.0068494,           0.0049604,             0.97265,              0.8986,             0.99233,             0.81974,             0.01243,           0.0079118,           0.0041307,           0.0015543,           0.0015543,           0.0015543
                  65,            0.011587,            0.006802,           0.0040842,              0.9718,             0.89824,             0.99233,             0.80581,            0.012376,           0.0079207,           0.0041601,           0.0015259,           0.0015259,           0.0015259
                  66,            0.010529,           0.0060592,           0.0042061,             0.97224,             0.89777,             0.99233,             0.80645,            0.012306,           0.0079246,           0.0041646,           0.0014976,           0.0014976,           0.0014976
                  67,            0.013322,            0.009855,           0.0044292,             0.97104,             0.89819,             0.99233,             0.80583,            0.012233,           0.0079414,            0.004232,           0.0014692,           0.0014692,           0.0014692
                  68,            0.011713,           0.0079371,           0.0039069,             0.97225,             0.89761,             0.99233,              0.7835,            0.012278,           0.0079325,           0.0042003,           0.0014409,           0.0014409,           0.0014409
                  69,            0.011368,           0.0073468,           0.0043571,             0.97343,             0.89734,             0.99233,              0.7883,            0.012231,           0.0078891,           0.0042161,           0.0014125,           0.0014125,           0.0014125
                  70,            0.012763,           0.0070325,           0.0043536,             0.97409,             0.89733,             0.99233,             0.78832,            0.012191,           0.0078605,           0.0041859,           0.0013842,           0.0013842,           0.0013842
                  71,            0.011667,           0.0070786,           0.0041996,             0.97347,             0.89793,             0.99233,             0.79803,             0.01218,           0.0078427,           0.0041681,           0.0013559,           0.0013559,           0.0013559
                  72,            0.013011,           0.0070078,           0.0050098,             0.97372,               0.898,             0.99233,             0.79111,            0.012146,           0.0078477,           0.0041686,           0.0013275,           0.0013275,           0.0013275
                  73,            0.011503,            0.006734,           0.0039431,             0.97338,             0.89799,             0.99233,             0.80216,            0.012133,           0.0078605,           0.0041933,           0.0012992,           0.0012992,           0.0012992
                  74,            0.011563,           0.0081893,           0.0040874,             0.97406,             0.89809,              0.9902,             0.79682,            0.012019,           0.0078329,           0.0042136,           0.0012708,           0.0012708,           0.0012708
                  75,            0.011411,           0.0061551,           0.0039965,              0.9745,             0.89837,              0.9902,             0.79304,             0.01202,           0.0078674,           0.0042285,           0.0012425,           0.0012425,           0.0012425
                  76,             0.01166,           0.0067468,           0.0041201,             0.97409,             0.89835,              0.9902,             0.79165,            0.012085,           0.0078852,           0.0042547,           0.0012141,           0.0012141,           0.0012141
                  77,            0.012447,           0.0074934,           0.0042822,             0.97355,             0.89868,              0.9902,             0.79383,            0.012089,           0.0078911,           0.0042513,           0.0011858,           0.0011858,           0.0011858
                  78,            0.010269,           0.0069182,           0.0044139,             0.97514,             0.89893,              0.9902,             0.80056,            0.012063,           0.0078635,           0.0041943,           0.0011574,           0.0011574,           0.0011574
                  79,             0.01198,           0.0071074,           0.0040317,             0.97588,             0.89871,              0.9902,             0.80535,            0.011974,           0.0078595,            0.004176,           0.0011291,           0.0011291,           0.0011291
                  80,            0.012084,           0.0076911,           0.0043542,             0.97504,             0.89899,              0.9902,             0.80467,            0.012033,           0.0078783,           0.0041923,           0.0011008,           0.0011008,           0.0011008
                  81,            0.011694,            0.008353,           0.0045865,             0.97586,             0.89837,              0.9902,             0.78979,            0.012062,           0.0078714,           0.0042102,           0.0010724,           0.0010724,           0.0010724
                  82,            0.011429,            0.007305,           0.0038102,             0.97478,             0.89971,              0.9902,             0.78981,            0.012035,           0.0078457,           0.0042245,           0.0010441,           0.0010441,           0.0010441
                  83,            0.012058,           0.0067884,           0.0043031,             0.97509,             0.89901,              0.9902,             0.78296,            0.011983,           0.0078329,           0.0042315,           0.0010157,           0.0010157,           0.0010157
                  84,            0.011378,           0.0069972,           0.0042336,             0.97313,             0.90054,              0.9902,             0.77696,            0.012028,           0.0078516,           0.0042305,          0.00098737,          0.00098737,          0.00098737
                  85,            0.011188,           0.0064398,           0.0039055,             0.97171,             0.90262,              0.9902,             0.79913,            0.011938,           0.0078447,           0.0042181,          0.00095903,          0.00095903,          0.00095903
                  86,            0.011491,           0.0066087,           0.0041579,             0.97369,             0.90162,              0.9902,             0.80519,            0.011942,           0.0078447,           0.0042171,          0.00093068,          0.00093068,          0.00093068
                  87,            0.012265,           0.0081884,           0.0040263,             0.97232,             0.90305,              0.9902,             0.80945,            0.011877,           0.0078388,           0.0041948,          0.00090234,          0.00090234,          0.00090234
                  88,             0.01184,           0.0073142,           0.0040935,             0.97318,             0.90266,              0.9902,             0.79873,            0.011818,            0.007824,           0.0041765,          0.00087399,          0.00087399,          0.00087399
                  89,            0.011224,            0.006874,           0.0041874,             0.97333,               0.902,              0.9902,             0.80058,            0.011827,           0.0078497,           0.0041383,          0.00084565,          0.00084565,          0.00084565
                  90,            0.011273,           0.0066705,           0.0047726,             0.97404,             0.90096,             0.99233,             0.81207,            0.011817,           0.0078477,           0.0041265,           0.0008173,           0.0008173,           0.0008173
                  91,            0.011402,           0.0066753,           0.0040928,             0.88856,             0.98618,             0.99233,             0.82835,             0.01173,           0.0078339,           0.0040467,          0.00078896,          0.00078896,          0.00078896
                  92,            0.011403,           0.0077168,           0.0038685,             0.88869,             0.98969,             0.99233,             0.81447,            0.011721,           0.0078408,           0.0040334,          0.00076061,          0.00076061,          0.00076061
                  93,            0.011295,           0.0075741,             0.00412,              0.9368,             0.96517,               0.995,             0.81634,            0.011707,            0.007827,           0.0039987,          0.00073227,          0.00073227,          0.00073227
                  94,            0.012318,           0.0070309,           0.0045407,             0.93719,             0.96401,               0.995,             0.81634,            0.011739,           0.0078349,           0.0039955,          0.00070392,          0.00070392,          0.00070392
                  95,            0.011118,           0.0070061,           0.0039172,               0.958,             0.91415,             0.99233,             0.81947,            0.011726,            0.007823,           0.0040341,          0.00067558,          0.00067558,          0.00067558
                  96,           0.0099931,           0.0053909,            0.003972,             0.95876,             0.91345,             0.99233,             0.81945,            0.011715,            0.007825,           0.0040613,          0.00064723,          0.00064723,          0.00064723
                  97,            0.012392,           0.0084967,           0.0046047,             0.88993,             0.98653,             0.99233,             0.82945,            0.011744,           0.0078289,           0.0040329,          0.00061889,          0.00061889,          0.00061889
                  98,             0.01184,            0.006893,           0.0040147,             0.89167,             0.99399,             0.99233,             0.81948,             0.01176,           0.0078309,           0.0040059,          0.00059054,          0.00059054,          0.00059054
                  99,            0.011126,           0.0061826,           0.0038739,             0.94015,             0.96067,               0.995,             0.82136,            0.011703,           0.0078102,           0.0040034,           0.0005622,           0.0005622,           0.0005622
